No,SAP CODE,STORE NAME,LAT,LONG,Store Address
1,G452,ERABLUE KARANG TENGAH JAKSEL,-6.2642242,106.7434514,"Jl. Karang Tengah Raya No.52, RT.6/RW.4, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440"
2,E103,ERAFONE GANDARIA CITY,-6.2439094,106.782738,"Mall Gandaria City Lt. 1 No. 189, Jl. Sultan Iskandar Muda, RT.10/RW.6, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Jakarta 12240"
3,E945,ERAFONE LEBAK BULUS,-6.2936988,106.7751874,"Jl. Lb. Bulus Pd. No.6a, RT.1/RW.4, Lebak Bulus, Cilandak, South Jakarta City, Jakarta 12440"
4,E042,ERAFONE PLAZA BLOK M,-6.2440994,106.7975701,"Blok M Plaza Lt. 3 Unit 311, Jl. Bulungan No.76, RT.6/RW.6, Kramat Pela, Kec. Kby. Baru, Daerah Khusus Ibukota Jakarta 12130"
5,E628,ERAFONE RADIO DALAM,-6.2612863,106.7891135,"Jl. Radio Dalam Raya No. 9E RT 008/010 Kel, Gandaria Utara. Kec, Kebayoran Baru - Jakarta Selatan 12140"
6,E389,ERAFONE RUKO CIPULIR,-6.238245,106.7729227,"JL. Ciledug Raya Rt06/rw11, Cipulir  Kec Kby Lama , Kota jakarta Selatan Pesanggarahan  kebayoran Lama jakarta  Selatan  12250"
7,E319,ERAFONE RUKO KODAM BINTARO,-6.2589823,106.7597571,"Jl. Bintaro Permai  RT.4/RW.3, Pesanggrahan, Kec. Pesanggrahan, Kota Jakarta Selatan, Jakarta 12320"
8,Q004,GALERI ISAT PONDOK INDAH,-6.2627596,106.7857203,"Ruko Plaza 5 Pondok Indah BL A-5, Jl. Margaguna - Pondok Indah, Jakarta Selatan"
9,N119,HUAWEI EXP SHOP PONDOK INDAL MALL,-6.2654587,106.7829479,"Mal Pondok Indah 2 Lantai 3 No. 308, Jalan Metro Pondok Indah Kav. IV, RT.1/RW.16, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Jakarta 12310"
10,G068,LOTTEMART GANDARIA,-6.2451291,106.7834073,"Gedung Gandaria City Lantai LG.03 Lower Ground  Jl. Sultan Iskandar Muda, RT.10/RW.6, Kby. Lama Utara, Kby. Lama, Kota Jakarta Selatan, Jakarta 12240"
11,M071,MEGASTORE PONDOK INDAH MALL,-6.2651614,106.7843635,"Mal Pondok Indah 1 Lt. Dasar No. 039C, Jalan Metro Pondok Indah Kav. IV, RT.1/RW.16, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Jakarta 12310"
12,M073,MEGASTORE RUKO PONDOK PINANG,-6.2677312,106.7748749,"Jalan Ciputat Raya No.1 RT. 01 RW. 011 Kebayoran Lama, Jakarta Selatan"
13,Q110,XLC GANDARIA CITY,-6.2438817,106.7833609,"Gandaria City 1st Floor. Jl. Sultan Iskandar Muda, Arteri Pondok Indah, Kebayoran Lama, Jakarta Selatan, 12240"
14,Q010,XLC PONDOK INDAH MAL 2,-6.2650116,106.7839914,"Pondok Indah Mall 2 Lt.1 no. 126B, Jl. Metro Pondok Indah No.Kav. IV, RT.1/RW.16, Pd. Pinang, Kec. Kby. Lama, Jakarta Selatan. 12310"
